epoch	hours	top1Accuracy
1	0.00203875	57.03
2	0.00320557	66.44
3	0.00437104	74.14
4	0.00553660	77.84
5	0.00670223	76.47
6	0.00786819	82.36
7	0.00903352	73.87
8	0.01019880	77.76
9	0.01136451	82.83
10	0.01253089	81.00
11	0.01369659	80.76
12	0.01486561	82.76
13	0.01603087	85.43
14	0.01719671	82.98
15	0.01836315	86.02
16	0.01952883	88.71
17	0.02069537	90.20
18	0.02186229	90.91
19	0.02302819	90.23
20	0.02419458	91.43
21	0.02536426	90.58
22	0.02653089	91.83
23	0.02769725	93.52
24	0.02886390	94.03
